Word,Category
frozen,Germanic
map,Latin
toilet,French
background,Germanic
shudder,Germanic
spider,Germanic
adult,French
cheap,Germanic
clue,Germanic
hazel,Germanic
irritate,Latin
sand,Germanic
quarter,French
spare,Germanic
American,Germanic
rid,Germanic
spat,Latin
pot,Germanic
awful,Germanic
bleed,Germanic
fate,Latin
jog,Germanic
strike,Germanic
grimace,French
holiday,Germanic
whistle,Germanic
agreement,French
dull,Germanic
expensive,Latin
snatch,Germanic
sometime,Germanic
ability,French
campus,Latin
collar,Latin
disturb,French
flicker,Germanic
proceed,French
recently,Latin
risk,Persian
skill,Germanic
topic,Latin
defense,Latin
fry,Germanic
luckily,Germanic
retort,French
captain,Latin
eaten,Germanic
glove,Germanic
mid,Germanic
owner,Germanic
cheese,Germanic
yank,Scots
afterward,Germanic
closely,Germanic
coach,Hungarian
feather,Germanic
handsome,Germanic
New York,Uncategorized
pity,French
signal,Latin
sniff,Germanic
strap,Germanic
contain,French
survive,French
sweater,Germanic
west,Germanic
drawer,Germanic
leap,Germanic
major,Latin
peek,Germanic
suspect,French
tour,French
freeze,Germanic
heaven,Germanic
mask,Germanic
surprisingly,French
abruptly,Latin
begun,Germanic
customer,French
pad,Germanic
design,French
flop,Imitative
pride,Germanic
yep,Germanic
interview,French
makeup,Germanic
blast,Germanic
prince,French
rode,Germanic
bubble,Germanic
rent,Latin
teen,Germanic

